,apply,intel,sat,diff,grade,letter,job
89,0,1,1,0,0,1,0
90,1,1,0,1,1,1,1
91,1,1,0,0,0,1,1
92,1,0,0,0,0,1,1
93,1,0,0,0,0,1,0
94,1,1,1,1,0,0,1
95,1,0,0,0,2,0,0
96,1,1,1,0,0,1,1
97,1,0,1,1,2,0,1
98,1,0,0,0,1,1,1
99,1,1,1,0,0,1,1
100,1,1,0,0,0,1,0
101,0,0,0,1,2,0,0
102,1,0,0,0,0,1,0
103,0,0,0,0,1,1,0
104,1,0,0,0,2,0,0
105,1,1,1,0,0,1,1
106,0,0,0,0,1,0,0
107,1,0,0,1,2,0,0
108,1,0,0,0,0,1,1
109,1,0,0,0,0,1,1
110,1,1,1,1,1,1,1
111,1,0,0,0,2,0,1
112,1,1,1,1,0,1,1
113,0,1,0,1,0,1,1
114,1,0,0,0,2,0,0
115,0,0,0,0,1,1,0
116,1,0,1,0,0,1,1
117,1,0,0,0,1,0,0
118,0,0,0,1,2,0,0
119,1,0,0,1,2,0,0
120,0,0,0,0,1,0,0
121,1,1,1,0,0,1,1
122,0,0,0,0,2,0,0
123,1,0,0,1,2,0,0
124,0,0,0,0,0,1,1
125,0,1,1,1,1,1,0
126,1,1,1,1,2,0,1
127,1,0,0,0,1,1,1
128,1,0,0,0,2,0,0
129,0,1,1,1,1,1,1
130,1,0,0,0,0,1,0
131,1,0,0,1,2,0,0
132,1,0,0,1,2,0,0
133,0,0,0,1,2,0,0
134,1,0,0,0,1,0,0
135,0,1,0,0,0,1,0
136,1,0,0,0,2,0,0
137,1,0,0,1,1,1,0
138,1,0,0,1,1,1,1
139,1,0,0,0,1,1,1
140,1,1,1,1,1,1,1
141,1,0,0,0,1,1,1
142,1,0,0,1,2,0,0
143,1,1,0,0,2,0,1
144,1,0,0,1,2,0,0
145,0,1,1,0,0,1,1
146,1,1,1,0,0,1,1
147,1,0,0,1,2,0,0
148,1,0,0,1,2,0,0
149,1,0,1,1,2,0,1
150,0,0,0,1,1,1,0
151,0,0,0,1,2,0,0
152,1,0,0,0,1,1,1
153,0,0,0,0,1,1,0
154,1,0,0,1,2,0,0
155,0,0,0,0,1,1,0
156,1,0,0,0,0,1,0
157,1,0,0,0,2,0,0
158,0,0,0,0,0,1,0
159,1,0,0,0,2,0,0
160,1,0,0,0,1,1,1
161,1,0,0,0,1,1,1
162,0,1,1,1,2,0,0
163,0,0,0,1,1,1,1
164,1,0,0,1,2,0,1
165,1,0,0,0,0,1,0
166,1,0,0,0,1,0,0
167,1,0,0,1,2,0,0
168,1,1,1,1,1,1,1
169,1,0,0,1,1,0,0
170,1,1,0,0,0,1,1
171,1,0,0,0,1,0,1
172,1,1,1,0,0,1,1
173,1,0,0,1,2,0,0
174,1,0,0,1,2,0,0
175,1,0,0,0,2,0,0
176,1,0,0,0,0,1,1
177,1,0,0,0,1,1,0
178,1,0,0,1,2,0,0
179,1,0,0,0,1,0,0
180,1,0,0,1,2,0,0
181,1,0,0,1,1,1,0
182,1,1,0,0,0,1,0
183,0,0,0,1,0,1,0
184,1,0,0,1,2,0,0
185,1,0,0,0,2,0,0
186,0,1,1,1,0,1,0
187,1,0,1,0,1,0,1
188,1,1,0,0,0,1,1
189,1,0,0,0,1,0,0
190,0,0,0,1,2,0,0
191,1,0,0,0,0,1,1
192,1,0,1,0,1,0,1
193,1,0,0,1,1,1,0
194,1,1,1,0,0,0,1
195,1,0,1,0,2,0,1
196,0,0,0,0,2,0,0
197,1,1,1,1,1,0,1
198,1,1,0,0,0,1,0
199,1,0,1,0,0,1,1
