,sample_a,sample_b,f1a,f2a,f3a,f4a,f5a,f6a,f7a,f8a,f9a,f1b,f2b,f3b,f4b,f5b,f6b,f7b,f8b,f9b,verify_ab
0,0,0,3,1,0,0,2,2,3,2,2,3,4,0,2,2,1,0,2,2,0
0,0,0,3,1,0,0,2,2,3,2,2,2,4,1,0,2,3,3,4,2,0
0,0,0,2,1,1,0,2,2,0,4,2,1,1,1,0,2,2,1,2,2,1
0,0,0,2,1,1,0,2,2,0,4,2,3,1,1,3,2,2,0,1,2,1
0,0,0,2,1,1,0,2,2,0,4,2,3,1,1,1,2,3,0,3,2,0
0,0,0,2,1,1,0,2,2,0,4,2,3,1,1,0,2,1,1,1,2,0
0,0,0,2,1,1,0,2,2,0,4,2,0,1,1,0,2,2,1,2,2,0
0,0,0,2,1,1,0,2,2,0,4,2,2,4,1,1,2,1,0,4,2,0
0,0,0,2,1,1,0,2,2,0,4,2,1,0,1,0,2,1,0,0,1,0
0,0,0,3,1,1,0,2,2,0,3,2,3,1,1,0,2,2,0,3,2,1
0,0,0,3,1,1,0,2,2,0,3,2,2,1,1,2,2,2,0,3,2,1
0,0,0,3,1,1,0,2,2,0,3,2,1,1,1,3,2,2,0,1,1,0
0,0,0,3,1,1,0,2,2,0,3,2,1,1,0,3,2,1,1,2,1,0
0,0,0,3,1,1,0,2,2,0,3,2,1,0,1,3,2,2,3,1,2,0
0,0,0,3,1,1,0,2,2,0,3,2,0,0,1,0,2,2,2,1,1,0
0,0,0,3,1,1,0,2,2,0,3,2,2,0,1,1,0,2,1,1,1,0
0,0,0,2,1,1,0,2,2,1,0,2,3,2,1,3,2,2,1,3,2,1
0,0,0,2,1,1,0,2,2,1,0,2,3,0,1,0,2,2,0,3,2,1
0,0,0,2,1,1,0,2,2,1,0,2,1,1,1,2,2,2,0,0,2,0
0,0,0,2,1,1,0,2,2,1,0,2,3,4,1,4,2,3,1,3,2,0
0,0,0,2,1,1,0,2,2,1,0,2,1,1,1,3,2,2,0,1,1,0
0,0,0,2,1,1,0,2,2,1,0,2,2,0,1,0,2,2,3,4,2,0
0,0,0,2,1,1,0,2,2,1,0,2,1,4,1,1,2,3,0,1,2,0
0,0,0,2,1,1,3,2,2,1,1,2,2,1,1,0,2,2,1,3,2,1
0,0,0,2,1,1,3,2,2,1,1,2,2,1,1,1,2,2,0,1,2,1
0,0,0,2,1,1,3,2,2,1,1,2,2,0,1,0,2,3,0,3,2,0
0,0,0,2,1,1,3,2,2,1,1,2,1,4,1,1,2,1,0,1,2,0
0,0,0,2,1,1,3,2,2,1,1,2,3,0,1,0,1,3,1,1,2,0
0,0,0,2,1,1,3,2,2,1,1,2,3,4,1,3,2,2,0,4,2,0
0,0,0,2,1,1,3,2,2,1,1,2,1,1,1,2,2,2,0,0,2,0
0,0,0,1,1,1,1,2,1,3,3,2,2,1,0,2,2,2,1,3,2,1
0,0,0,1,1,1,1,2,1,3,3,2,1,1,1,0,2,2,1,1,2,1
0,0,0,1,1,1,1,2,1,3,3,2,2,3,1,3,2,2,0,1,2,0
0,0,0,1,1,1,1,2,1,3,3,2,2,0,1,0,2,2,3,4,2,0
0,0,0,1,1,1,1,2,1,3,3,2,0,1,1,1,2,2,1,0,1,0
0,0,0,1,1,1,1,2,1,3,3,2,2,1,1,2,2,2,1,1,2,0
0,0,0,1,1,1,1,2,1,3,3,2,3,0,0,2,0,3,3,0,2,0
0,0,0,3,1,1,3,2,2,0,0,2,2,1,1,3,2,2,0,4,2,1
0,0,0,3,1,1,3,2,2,0,0,2,3,0,1,0,2,2,0,2,2,1
0,0,0,3,1,1,3,2,2,0,0,2,1,1,1,1,2,2,0,0,2,0
0,0,0,3,1,1,3,2,2,0,0,2,1,0,1,3,2,2,1,3,2,0
0,0,0,3,1,1,3,2,2,0,0,2,3,1,1,3,2,1,3,0,2,0
0,0,0,3,1,1,3,2,2,0,0,2,3,4,1,0,2,2,2,1,2,0
0,0,0,3,1,1,3,2,2,0,0,2,3,0,1,0,2,3,1,2,2,0
0,0,0,1,1,1,3,2,2,1,2,2,1,1,1,1,2,2,0,2,2,1
0,0,0,1,1,1,3,2,2,1,2,2,3,1,1,3,2,2,0,3,2,1
0,0,0,1,1,1,3,2,2,1,2,2,2,1,1,0,0,2,1,1,1,0
0,0,0,1,1,1,3,2,2,1,2,2,0,2,1,0,1,2,1,2,2,0
0,0,0,1,1,1,3,2,2,1,2,2,1,1,0,1,2,2,2,4,2,0
0,0,0,1,1,1,3,2,2,1,2,2,1,1,1,3,2,2,2,2,1,0
0,0,0,1,1,1,3,2,2,1,2,2,2,1,0,2,2,1,0,3,2,0
0,0,0,2,4,1,3,2,2,1,1,2,2,1,1,3,2,2,1,0,2,1
0,0,0,2,4,1,3,2,2,1,1,2,1,1,1,0,2,2,0,4,2,1
0,0,0,2,4,1,3,2,2,1,1,2,1,2,1,3,2,1,1,1,1,0
0,0,0,2,4,1,3,2,2,1,1,2,2,0,1,0,0,3,0,2,2,0
0,0,0,2,4,1,3,2,2,1,1,2,1,3,1,1,2,2,2,1,1,0
0,0,0,2,4,1,3,2,2,1,1,2,0,1,1,0,2,2,0,2,2,0
0,0,0,2,4,1,3,2,2,1,1,2,2,4,1,1,2,2,2,1,1,0
0,0,0,3,1,1,0,2,2,1,2,2,2,1,1,1,2,2,0,0,2,1
0,0,0,3,1,1,0,2,2,1,2,2,2,1,1,3,2,2,1,3,2,1
0,0,0,3,1,1,0,2,2,1,2,2,2,1,1,3,1,2,0,2,2,0
0,0,0,3,1,1,0,2,2,1,2,2,1,2,1,0,2,2,1,0,2,0
0,0,0,3,1,1,0,2,2,1,2,2,1,4,1,3,2,2,0,4,2,0
0,0,0,3,1,1,0,2,2,1,2,2,1,1,1,1,2,2,2,1,2,0
0,0,0,3,1,1,0,2,2,1,2,2,2,1,1,1,2,3,0,1,2,0
0,0,0,1,1,1,0,2,1,0,3,2,1,1,1,0,2,2,1,0,2,1
0,0,0,1,1,1,0,2,1,0,3,2,2,1,1,1,2,2,0,3,2,1
0,0,0,1,1,1,0,2,1,0,3,2,1,1,0,2,2,1,1,0,2,0
0,0,0,1,1,1,0,2,1,0,3,2,2,4,0,2,2,2,0,4,2,0
0,0,0,1,1,1,0,2,1,0,3,2,3,1,1,3,0,2,0,0,2,0
0,0,0,1,1,1,0,2,1,0,3,2,2,4,1,3,2,2,0,3,2,0
0,0,0,1,1,1,0,2,1,0,3,2,3,2,1,0,2,2,1,4,2,0
0,0,0,2,1,1,1,2,3,1,3,2,1,1,1,3,2,2,1,1,2,1
0,0,0,2,1,1,1,2,3,1,3,2,3,1,1,0,2,1,0,3,2,1
0,0,0,2,1,1,1,2,3,1,3,2,2,1,1,3,0,1,0,2,1,0
0,0,0,2,1,1,1,2,3,1,3,2,1,1,1,0,0,3,3,4,2,0
0,0,0,2,1,1,1,2,3,1,3,2,1,1,1,1,0,2,0,2,1,0
0,0,0,2,1,1,1,2,3,1,3,2,2,4,1,3,2,2,0,1,2,0
0,0,0,2,1,1,1,2,3,1,3,2,3,4,1,3,0,2,0,4,2,0
0,0,0,1,1,1,0,2,2,1,3,2,1,1,1,0,2,2,1,3,2,1
0,0,0,1,1,1,0,2,2,1,3,2,1,2,1,0,2,2,1,0,1,1
0,0,0,1,1,1,0,2,2,1,3,2,2,2,1,0,0,2,0,3,2,0
0,0,0,1,1,1,0,2,2,1,3,2,3,1,1,3,2,2,2,1,2,0
0,0,0,1,1,1,0,2,2,1,3,2,3,1,1,3,2,3,0,0,2,0
0,0,0,1,1,1,0,2,2,1,3,2,3,2,1,0,2,2,0,4,2,0
0,0,0,1,1,1,0,2,2,1,3,2,0,1,1,0,2,3,0,3,2,0
0,0,0,1,1,1,1,2,2,0,1,2,2,1,1,0,2,1,0,2,2,1
0,0,0,1,1,1,1,2,2,0,1,2,3,1,1,0,2,2,1,1,2,1
0,0,0,1,1,1,1,2,2,0,1,2,2,0,1,3,2,2,1,1,2,0
0,0,0,1,1,1,1,2,2,0,1,2,2,1,1,0,0,2,2,2,1,0
0,0,0,1,1,1,1,2,2,0,1,2,1,4,0,2,0,2,3,4,1,0
0,0,0,1,1,1,1,2,2,0,1,2,2,1,1,3,0,2,2,3,2,0
0,0,0,1,1,1,1,2,2,0,1,2,1,1,0,3,2,1,1,2,1,0
0,0,0,0,1,1,0,2,2,0,2,2,2,2,1,3,2,2,0,0,2,1
0,0,0,0,1,1,0,2,2,0,2,2,1,1,0,1,0,1,0,2,1,1
0,0,0,0,1,1,0,2,2,0,2,2,3,1,0,2,2,2,0,1,2,0
0,0,0,0,1,1,0,2,2,0,2,2,1,2,1,3,2,1,1,1,1,0
0,0,0,0,1,1,0,2,2,0,2,2,3,1,0,2,2,2,2,3,2,0
0,0,0,0,1,1,0,2,2,0,2,2,1,2,1,3,2,1,1,3,2,0
0,0,0,0,1,1,0,2,2,0,2,2,0,1,1,1,2,2,1,2,2,0
0,0,0,1,1,1,3,2,2,0,4,2,3,1,1,3,2,2,1,2,2,1
0,0,0,1,1,1,3,2,2,0,4,2,2,1,1,0,2,2,0,2,1,1
0,0,0,1,1,1,3,2,2,0,4,2,1,0,1,3,2,2,0,3,2,0
0,0,0,1,1,1,3,2,2,0,4,2,2,1,1,1,0,2,0,0,2,0
0,0,0,1,1,1,3,2,2,0,4,2,0,1,1,2,2,2,1,2,2,0
0,0,0,1,1,1,3,2,2,0,4,2,2,4,1,3,0,3,1,4,1,0
0,0,0,1,1,1,3,2,2,0,4,2,2,1,1,0,2,2,0,4,2,0
0,0,0,2,4,1,3,2,2,3,1,2,1,1,1,3,2,2,1,0,2,1
0,0,0,2,4,1,3,2,2,3,1,2,2,4,1,3,2,2,3,1,2,1
0,0,0,2,4,1,3,2,2,3,1,2,3,1,1,3,2,1,3,0,2,0
0,0,0,2,4,1,3,2,2,3,1,2,1,2,1,0,2,2,1,0,2,0
0,0,0,2,4,1,3,2,2,3,1,2,1,1,1,1,2,1,0,4,2,0
0,0,0,2,4,1,3,2,2,3,1,2,2,1,1,3,0,1,0,2,1,0
0,0,0,2,4,1,3,2,2,3,1,2,0,2,1,3,2,2,1,4,2,0
0,0,0,2,2,1,3,2,2,0,1,2,2,2,1,3,2,2,0,1,2,1
0,0,0,2,2,1,3,2,2,0,1,2,2,1,1,0,2,1,0,1,2,1
0,0,0,2,2,1,3,2,2,0,1,2,0,1,1,0,2,2,0,3,2,0
0,0,0,2,2,1,3,2,2,0,1,2,3,1,1,1,2,1,0,0,2,0
0,0,0,2,2,1,3,2,2,0,1,2,2,1,1,1,2,3,0,4,2,0
0,0,0,2,2,1,3,2,2,0,1,2,3,1,1,0,2,3,1,2,1,0
0,0,0,2,2,1,3,2,2,0,1,2,2,1,1,2,0,2,2,0,1,0
0,0,0,3,1,1,0,2,2,0,4,2,2,1,1,2,2,2,1,0,2,1
0,0,0,3,1,1,0,2,2,0,4,2,1,1,1,1,2,2,0,2,1,1
0,0,0,3,1,1,0,2,2,0,4,2,1,0,1,0,0,2,0,2,1,0
0,0,0,3,1,1,0,2,2,0,4,2,3,1,1,0,2,3,0,2,2,0
0,0,0,3,1,1,0,2,2,0,4,2,2,1,0,2,2,2,0,4,2,0
0,0,0,3,1,1,0,2,2,0,4,2,2,4,0,2,2,2,0,4,2,0
0,0,0,3,1,1,0,2,2,0,4,2,2,1,1,1,2,0,1,3,2,0
0,0,0,1,1,1,1,2,2,0,0,2,2,1,1,1,2,2,1,2,2,1
0,0,0,1,1,1,1,2,2,0,0,2,0,1,1,0,2,2,0,1,2,1
0,0,0,1,1,1,1,2,2,0,0,2,2,1,1,3,0,2,0,1,1,0
0,0,0,1,1,1,1,2,2,0,0,2,3,1,1,0,2,2,3,1,2,0
0,0,0,1,1,1,1,2,2,0,0,2,0,1,1,3,0,3,3,3,1,0
0,0,0,1,1,1,1,2,2,0,0,2,2,1,1,0,2,2,0,1,2,0
0,0,0,1,1,1,1,2,2,0,0,2,2,2,1,3,2,2,0,2,2,0
0,0,0,1,1,1,3,2,2,1,3,2,3,1,1,0,2,2,1,0,2,1
0,0,0,1,1,1,3,2,2,1,3,2,2,4,1,0,2,2,0,2,2,1
0,0,0,1,1,1,3,2,2,1,3,2,0,2,1,0,2,2,0,4,2,0
0,0,0,1,1,1,3,2,2,1,3,2,2,1,1,1,2,1,0,3,2,0
0,0,0,1,1,1,3,2,2,1,3,2,0,0,1,1,2,2,1,1,2,0
0,0,0,1,1,1,3,2,2,1,3,2,1,1,1,0,0,2,1,1,1,0
0,0,0,1,1,1,3,2,2,1,3,2,3,3,0,3,2,2,0,3,2,0
0,0,0,1,1,1,1,2,2,0,3,2,1,1,1,1,2,2,0,3,2,1
0,0,0,1,1,1,1,2,2,0,3,2,1,1,1,1,2,2,0,3,2,1
0,0,0,1,1,1,1,2,2,0,3,2,3,2,0,2,2,3,0,4,2,0
0,0,0,1,1,1,1,2,2,0,3,2,1,2,1,3,2,2,1,3,2,0
0,0,0,1,1,1,1,2,2,0,3,2,2,1,1,3,0,2,2,0,1,0
0,0,0,1,1,1,1,2,2,0,3,2,2,1,1,1,2,1,3,0,2,0
0,0,0,1,1,1,1,2,2,0,3,2,3,1,1,3,2,3,3,4,2,0
0,0,0,2,1,1,0,2,2,1,4,2,1,1,1,3,0,2,0,1,2,1
0,0,0,2,1,1,0,2,2,1,4,2,3,1,1,0,2,1,1,2,2,1
0,0,0,2,1,1,0,2,2,1,4,2,1,0,1,0,2,2,1,4,2,0
0,0,0,2,1,1,0,2,2,1,4,2,2,4,1,1,2,1,0,2,2,0
0,0,0,2,1,1,0,2,2,1,4,2,0,2,1,0,1,2,1,3,2,0
0,0,0,2,1,1,0,2,2,1,4,2,1,1,1,0,0,3,3,4,2,0
0,0,0,2,1,1,0,2,2,1,4,2,2,1,1,1,2,0,1,3,2,0
0,0,0,3,1,0,2,2,2,0,2,2,2,0,1,0,2,2,0,2,2,1
0,0,0,3,1,0,2,2,2,0,2,2,0,1,1,2,1,2,1,1,1,1
0,0,0,3,1,0,2,2,2,0,2,2,1,1,1,0,0,3,3,4,2,0
0,0,0,3,1,0,2,2,2,0,2,2,0,1,1,0,2,3,0,3,2,0
0,0,0,3,1,0,2,2,2,0,2,2,3,4,1,4,2,3,1,3,2,0
0,0,0,3,1,0,2,2,2,0,2,2,0,4,1,0,0,2,0,2,2,0
0,0,0,3,1,0,2,2,2,0,2,2,3,0,1,3,2,1,1,0,2,0
0,0,0,2,1,1,2,0,2,0,3,2,3,1,1,3,2,2,1,1,2,1
0,0,0,2,1,1,2,0,2,0,3,2,2,2,1,0,2,2,1,3,2,1
0,0,0,2,1,1,2,0,2,0,3,2,3,1,1,1,2,2,0,3,2,0
0,0,0,2,1,1,2,0,2,0,3,2,1,1,1,3,0,2,3,0,2,0
0,0,0,2,1,1,2,0,2,0,3,2,1,1,1,3,0,2,1,2,1,0
0,0,0,2,1,1,2,0,2,0,3,2,1,2,1,3,2,2,1,3,2,0
0,0,0,2,1,1,2,0,2,0,3,2,2,0,1,3,2,0,0,3,2,0
0,0,0,1,0,1,3,2,1,0,2,2,1,0,1,3,2,1,0,2,2,1
0,0,0,1,0,1,3,2,1,0,2,2,0,1,1,3,2,2,0,2,2,1
0,0,0,1,0,1,3,2,1,0,2,2,0,1,1,2,2,2,1,2,2,0
0,0,0,1,0,1,3,2,1,0,2,2,3,2,1,3,2,3,3,3,2,0
0,0,0,1,0,1,3,2,1,0,2,2,2,4,1,3,2,3,1,3,2,0
0,0,0,1,0,1,3,2,1,0,2,2,1,1,0,2,0,1,1,2,1,0
0,0,0,1,0,1,3,2,1,0,2,2,1,2,1,0,2,2,2,0,1,0
0,0,0,3,1,1,0,2,2,1,3,2,2,1,1,0,2,2,0,1,1,1
0,0,0,3,1,1,0,2,2,1,3,2,1,1,1,1,2,2,1,0,2,1
0,0,0,3,1,1,0,2,2,1,3,2,1,1,1,2,2,1,2,0,1,0
0,0,0,3,1,1,0,2,2,1,3,2,2,1,1,1,2,0,1,2,2,0
0,0,0,3,1,1,0,2,2,1,3,2,1,0,1,3,2,2,0,3,2,0
0,0,0,3,1,1,0,2,2,1,3,2,2,0,1,3,2,2,0,4,2,0
0,0,0,3,1,1,0,2,2,1,3,2,2,0,1,0,2,3,1,3,2,0
0,0,0,2,1,1,3,2,1,1,2,1,3,2,1,3,2,2,1,4,2,1
0,0,0,2,1,1,3,2,1,1,2,1,2,1,1,2,2,2,0,2,2,1
0,0,0,2,1,1,3,2,1,1,2,1,0,1,1,3,0,3,3,3,1,0
0,0,0,2,1,1,3,2,1,1,2,1,3,4,1,1,2,3,2,3,2,0
0,0,0,2,1,1,3,2,1,1,2,1,3,0,1,0,1,3,1,1,2,0
0,0,0,2,1,1,3,2,1,1,2,1,2,1,1,3,0,1,0,2,1,0
0,0,0,2,1,1,3,2,1,1,2,1,2,1,1,0,2,3,3,2,1,0
0,0,0,2,1,1,0,2,1,0,0,2,2,1,1,3,0,2,1,2,1,1
0,0,0,2,1,1,0,2,1,0,0,2,1,0,1,1,2,2,0,2,1,1
0,0,0,2,1,1,0,2,1,0,0,2,1,1,1,0,2,1,1,2,1,0
0,0,0,2,1,1,0,2,1,0,0,2,1,1,0,0,2,3,1,3,2,0
0,0,0,2,1,1,0,2,1,0,0,2,2,1,1,0,2,3,0,4,2,0
0,0,0,2,1,1,0,2,1,0,0,2,2,0,1,1,0,2,1,1,1,0
0,0,0,2,1,1,0,2,1,0,0,2,1,0,1,0,2,2,3,3,2,0
0,0,0,2,1,1,0,2,3,0,2,2,2,1,1,1,2,2,1,1,2,1
0,0,0,2,1,1,0,2,3,0,2,2,2,1,1,0,2,3,0,2,2,1
0,0,0,2,1,1,0,2,3,0,2,2,1,1,1,0,2,1,0,2,1,0
0,0,0,2,1,1,0,2,3,0,2,2,2,1,1,0,2,3,2,3,2,0
0,0,0,2,1,1,0,2,3,0,2,2,2,2,0,2,2,2,0,0,2,0
0,0,0,2,1,1,0,2,3,0,2,2,3,1,1,0,2,2,3,1,2,0
0,0,0,2,1,1,0,2,3,0,2,2,0,1,1,2,2,2,1,4,2,0
0,0,0,2,1,1,3,2,1,0,1,2,3,1,1,3,2,2,0,4,2,1
0,0,0,2,1,1,3,2,1,0,1,2,2,1,1,3,2,1,0,1,2,1
0,0,0,2,1,1,3,2,1,0,1,2,2,1,1,0,2,1,0,3,2,0
0,0,0,2,1,1,3,2,1,0,1,2,2,1,1,1,2,1,0,3,2,0
0,0,0,2,1,1,3,2,1,0,1,2,1,2,1,3,2,3,0,0,2,0
0,0,0,2,1,1,3,2,1,0,1,2,1,1,0,1,2,2,2,4,2,0
0,0,0,2,1,1,3,2,1,0,1,2,1,1,1,3,2,2,2,2,1,0
0,0,0,2,4,1,3,2,3,0,1,2,0,1,1,0,2,2,0,0,2,1
0,0,0,2,4,1,3,2,3,0,1,2,1,0,1,1,0,1,0,1,1,1
0,0,0,2,4,1,3,2,3,0,1,2,3,4,1,0,2,2,2,1,2,0
0,0,0,2,4,1,3,2,3,0,1,2,0,0,1,1,2,3,2,3,2,0
0,0,0,2,4,1,3,2,3,0,1,2,2,0,1,0,2,2,3,4,2,0
0,0,0,2,4,1,3,2,3,0,1,2,3,2,1,3,0,2,1,2,1,0
0,0,0,2,4,1,3,2,3,0,1,2,1,2,1,0,0,2,1,0,2,0
0,0,0,2,1,1,0,2,1,0,3,2,0,1,1,3,2,2,0,1,2,1
0,0,0,2,1,1,0,2,1,0,3,2,3,1,1,3,2,2,1,0,2,1
0,0,0,2,1,1,0,2,1,0,3,2,2,2,1,1,2,2,0,3,2,0
0,0,0,2,1,1,0,2,1,0,3,2,2,1,1,2,2,1,0,3,2,0
0,0,0,2,1,1,0,2,1,0,3,2,2,1,1,2,0,2,0,3,2,0
0,0,0,2,1,1,0,2,1,0,3,2,2,4,1,1,0,2,3,2,1,0
0,0,0,2,1,1,0,2,1,0,3,2,3,1,0,2,2,3,0,2,2,0
0,0,0,1,1,1,0,2,1,0,1,2,3,1,1,3,2,1,0,0,2,1
0,0,0,1,1,1,0,2,1,0,1,2,2,2,1,3,2,2,0,3,2,1
0,0,0,1,1,1,0,2,1,0,1,2,3,4,1,1,2,2,0,4,2,0
0,0,0,1,1,1,0,2,1,0,1,2,0,1,2,4,2,2,0,3,2,0
